COD_ACIDENTE;MOTOCICLETA;AUTOMOVEL;MICROONIBUS;CAMINHAO;ONIBUS;CICLOMOTOR;BICICLETA;OUTROS;TREM;TRACAOANIMAL
DNS9448;0;1;0;1;0;0;0;0;0;0;
BVB4660;0;1;0;0;0;0;0;0;0;0;
UIQ6394;1;1;0;0;0;0;0;0;0;0;
ROA8267;2;1;0;0;0;0;0;0;0;0;
EOE8330;0;1;0;0;0;0;0;0;0;0;
ZBI5672;0;0;0;1;0;0;0;0;0;0;
YQP4005;0;1;0;0;0;0;0;0;0;0;
FCG1350;0;2;0;0;0;0;0;0;0;0;
KRX9478;1;1;0;0;0;0;0;0;0;0;
IHQ3543;1;1;0;0;0;0;0;0;0;0;
HAP8953;1;0;0;0;0;0;0;0;0;0;
SYK9521;1;1;0;0;0;0;0;0;0;0;
RPH8963;1;1;0;0;0;0;0;0;0;0;
WQD1922;1;0;0;0;0;0;0;0;0;0;
EJG9403;2;0;0;0;0;0;0;0;0;0;
SJO0151;1;1;0;0;0;0;0;0;0;0;
CYY9410;0;1;0;0;0;0;1;0;0;0;
CSM7982;0;2;0;0;0;0;0;0;0;0;
WAV1720;1;1;0;0;0;0;0;0;0;0;
DXS5193;0;2;0;0;0;0;0;0;0;0;
DJF9704;1;1;0;0;0;0;0;0;0;0;
VJO9322;1;1;0;0;0;0;0;0;0;0;
BNT6451;1;0;0;0;1;0;0;0;0;0;
ZYL1822;0;3;0;0;0;0;0;0;0;0;
XYK9991;1;1;0;0;0;0;0;0;0;0;
MCV8885;1;1;0;0;0;0;0;0;0;0;
EIA8042;2;0;0;0;0;0;0;0;0;0;
CVQ7726;1;1;1;0;0;0;0;0;0;0;
CMO3531;1;0;0;0;0;0;0;0;0;0;
ZNB8027;0;1;0;1;0;0;0;0;0;0;
WLS5488;0;1;0;0;1;0;0;0;0;0;
JTU0299;1;2;0;0;0;0;0;0;0;0;
ILL8592;0;1;0;0;0;0;0;1;0;0;
TOJ1397;1;1;0;0;0;0;0;0;0;0;
UJI3171;1;1;0;0;0;0;0;0;0;0;
ASE6669;0;0;0;0;1;0;1;0;0;0;
NCX9215;0;1;0;0;0;0;0;0;0;0;
HVB7439;1;0;0;0;1;0;0;0;0;0;
MWH7477;1;1;0;0;0;0;0;0;0;0;
VAU8455;0;1;0;0;0;0;0;0;0;0;
APC9925;1;1;0;0;0;0;0;0;0;0;
GVZ0142;1;1;0;0;0;0;0;0;0;0;
FZR1795;1;1;0;0;0;0;0;0;0;0;
CXM1398;1;1;0;0;0;0;0;0;0;0;
AID5431;0;1;0;1;0;0;0;0;0;0;
OXF0734;1;2;0;0;1;0;0;0;0;0;
PJM2379;0;2;0;0;0;0;0;0;0;0;
OEC3205;0;1;0;0;0;0;0;0;0;0;
CCD7266;1;1;0;0;0;0;0;0;0;0;
FMY5745;1;0;0;0;1;0;0;0;0;0;
FSU7999;0;1;0;0;0;1;0;0;0;0;
LJT3749;0;0;0;1;0;0;0;0;0;0;
CQR9100;1;1;0;0;0;0;0;0;0;0;
ASD0961;1;1;0;0;0;0;0;0;0;0;
EGT0508;1;1;0;0;0;0;0;0;0;0;
WDA1271;0;2;0;0;0;0;0;0;0;0;
CWZ3465;1;1;0;0;0;0;0;0;0;0;
FBQ2883;1;1;0;0;0;0;0;0;0;0;
HZW2971;1;1;0;0;0;0;0;0;0;0;
IOK3535;0;2;0;0;0;0;0;0;0;0;
KXY7054;1;1;0;0;0;0;0;0;0;0;
FCG3378;1;0;0;0;1;0;0;0;0;0;
DMA9526;0;1;0;0;0;0;0;0;0;0;
UHN1841;1;1;0;0;0;0;0;0;0;0;
IJM2389;0;2;0;0;0;0;0;0;0;0;
HIG7871;1;1;0;0;0;0;0;0;0;0;
DLP9333;0;1;0;0;0;0;1;0;0;0;
BJE5497;1;1;0;0;0;0;0;0;0;0;
DCY4798;0;1;0;1;0;0;0;0;0;0;
HVS7810;0;1;0;0;0;0;0;1;0;0;
OKU3222;1;0;0;0;0;0;0;0;0;0;
FNM7086;1;1;0;0;0;0;0;0;0;0;
YDM9833;0;2;0;0;0;0;0;0;0;0;
IBI0862;1;1;0;0;0;0;0;0;0;0;
QEN1677;0;1;0;1;0;0;0;0;0;0;
BBE5241;2;1;0;0;0;0;0;0;0;0;
QBS0502;0;1;0;0;1;0;0;0;0;0;
PVO8719;0;1;0;0;1;0;1;0;0;0;
DCK7263;0;2;0;0;0;0;0;0;0;0;
WGS9816;0;1;0;0;0;0;0;1;0;0;
JXP9764;1;1;0;0;0;0;0;0;0;0;
RRW7062;0;0;0;0;1;0;0;0;0;0;
ZBL4548;1;1;0;0;0;0;0;0;0;0;
YQN3375;0;1;0;0;0;0;0;0;0;0;
MTC7443;1;0;0;0;0;0;0;0;0;0;
QBP0894;1;1;0;0;0;0;0;0;0;0;
VYH9813;1;1;0;0;0;0;0;0;0;0;
OYE6262;1;0;0;0;0;0;1;0;0;0;
LKR0629;1;1;0;0;0;0;0;0;0;0;
LOK4348;0;2;0;0;0;0;0;0;0;0;
HVM7338;1;1;0;0;0;0;0;0;0;0;
QPB1449;0;2;0;0;0;0;0;0;0;0;
LJE0186;1;0;0;0;0;0;0;0;0;0;
LZF7550;1;1;0;0;0;0;0;0;0;0;
VCY2589;0;1;0;0;0;0;0;0;0;0;
MVQ9524;1;1;0;0;0;0;0;0;0;0;
MXA7288;1;0;0;0;0;0;0;0;0;0;
UER8123;1;1;0;0;0;0;0;0;0;0;
WTR7216;1;1;0;0;0;0;0;0;0;0;
OSZ7916;0;0;0;1;0;0;0;0;0;0;
FMN7687;0;3;0;0;0;0;0;0;0;0;
IOB3632;0;0;0;0;1;0;0;1;0;0;
HEC9606;1;1;0;0;0;0;0;0;0;0;
GAM5396;1;1;0;0;0;0;0;0;0;0;
IND9409;1;1;0;0;0;0;0;0;0;0;
GCL4384;0;2;0;0;0;0;0;0;0;0;
NVS0410;0;2;0;0;0;0;0;0;0;0;
WQK1227;0;1;0;0;0;0;0;0;0;0;
GTK4225;2;0;0;0;0;0;0;0;0;0;
KBA2956;1;1;0;0;0;0;0;0;0;0;
HKE2782;1;1;0;0;0;0;0;0;0;0;
EIU0077;2;1;0;0;0;0;0;0;0;0;
FZU4195;0;2;0;0;0;0;0;0;0;0;
AAS7045;1;1;0;0;0;0;0;0;0;0;
RTG6653;0;2;0;0;0;0;0;0;0;0;
DCZ8065;0;2;0;0;0;0;0;0;0;0;
ZMH9452;1;1;0;0;0;0;0;0;0;0;
CRV1643;1;1;0;0;0;0;0;0;0;0;
ZVX2536;0;2;1;0;0;0;0;0;0;0;
KRH7108;2;0;0;0;0;0;0;0;0;0;
GPC6647;1;1;0;0;0;0;0;0;0;0;
TYW3987;0;1;0;0;1;0;0;0;0;0;
ZFG7479;1;1;0;0;0;0;0;0;0;0;
LER9664;1;1;0;0;0;0;0;0;0;0;
JNC2967;0;1;0;0;0;0;0;0;0;0;
CWK4530;1;1;0;0;0;0;0;0;0;0;
NRC1506;0;2;0;0;0;0;0;0;0;0;
CQV7480;1;1;0;0;0;0;0;0;0;0;
EHC9748;0;2;0;0;0;0;0;0;0;0;
DKL8064;0;1;0;0;0;0;0;0;0;0;
EGK4811;0;1;0;0;0;0;0;0;0;0;
NBW4600;0;2;0;0;0;0;0;0;0;0;
XPO4878;1;1;0;0;0;0;0;0;0;0;
ZHM7997;0;2;0;0;0;0;0;0;0;0;
ZJN6266;1;1;0;0;0;0;0;0;0;0;
MYV8472;0;2;0;0;0;0;0;0;0;0;
CVH9835;1;1;0;0;0;0;0;0;0;0;
IRN2845;0;2;0;0;0;0;0;0;0;0;
BLO3389;1;1;0;0;0;0;0;0;0;0;
YIT8347;0;1;0;0;0;0;0;0;0;0;
KLP7200;1;1;0;0;0;0;0;0;0;0;
BVZ9554;1;1;0;0;0;0;0;0;0;0;
HTG5489;1;1;0;0;0;0;0;0;0;0;
